"","Rating","Text","Movie","ID","CriticScore","Delta"
"32",0.5,"  Can I give this ZERO stars? This was the worst StarWars ever. You kill the ONLY two interesting characters in this movie & you try to FORCE us to be invested in Mary Sue ...I mean Rey, when she is basically Supergirl. This movie wasn't StarWars I don't know what it was. SJW Awakens?","The Last Jedi",32,4.1,3.6
"33",4.5,"  I loved this movie. I am a long time Star Wars fan who started with episode IV. This is not my favorite Star Wars film to date, but it was defiantly enjoyable to watch.","The Last Jedi",33,4.1,-0.4
"34",1,"  IT WAS HORRIBLE....screw rian johnson, kathlene kennedy, and disney for screwing this up...you ruined my childhood with this garbage.","The Last Jedi",34,4.1,3.1
"35",0.5,"  Not only the worst star wars by far but one of the worst movies ever made.","The Last Jedi",35,4.1,3.6
"36",0.5,"  If I could give this zero stars, I would. This isn't just a bad star wars movie, it's one of the worst movies I have ever had the displeasure of watching. Serious plot holes, nonsensical meandering story, and the character development (or lack of) is just awful. To make things worse, the filmmakers appear to be pushing political messages throughout the feature. Not something most people want rammed down their throats at the best of times. Certainly not from a franchise loved by generations of people, from all walks of life, who just want what they have come to expect from a star wars movie.This is not star wars. It may have spaceships, blasters and lightsabers, but that's about it. R.I.P. STAR WARS......","The Last Jedi",36,4.1,3.6
"37",0.5,"  I desperately wanted to like this movie, I really did. I loved The Force Awakens despite its lack of originality. I thought it was a fun movie that gave just the right amount of respect to the original cast while introducing us to an engaging cast of new characters. I had high hopes for the future of the franchise until I saw this flaming bag of dog doo. After leaving the theater in shock at the total disrespect of the characters and the source material, I took a step back and decided that maybe my initial reaction was too strong. Maybe I needed to give it a second chance and accept that sometimes change is necessary to advance the overall narrative of a story. Unfortunately, after a second viewing my aversion to this movie has only deepened. It is painfully obvious to me that the powers that be who created this disaster of a movie sacrificed quality story telling to advance a political agenda(s). They almost smash you in the face with it its so obvious to me now. What a water opportunity, thanks for nothing Rian Johnson.","The Last Jedi",37,4.1,3.6
"38",1,"  Gets 1 star for great visual effects. Other than that, it's by far the worst Star Wars film to date. The writing is atrocious and full of holes. The story goes absolutely nowhere. It's complete and utter ignorance of established Star Wars lore is insulting. A bad movie on it's own, but an even worse Star Wars movie. Avoid this movie like the plague.","The Last Jedi",38,4.1,3.1
"39",1,"  This film didn't respect the past instead they destroyed it too many jokes and no link to the new trilogy but the film is shot beautifully and it could of been better than this. expand the universe Disney make new threat for the new order and the rebels that will make it more interesting. ps mabe a fan of force awakens will like it more just too many missed opportunities.","The Last Jedi",39,4.1,3.1
"40",0.5,"  Disappointing in so many ways. It fails as a story. It fails as a Star Wars movie. It fails as a Science Fiction movie. It fails it's fan base. It fails to entertain. I watched this movie opening night and left with a great sense of disappointment. I went and watched it a second time just to be sure I wasn't missing somerhing. After the second viewing I went from disappointment to disgust. It is as if they gored a director/writer that hated Star Wars and and somehow conned his way into the franchise to destroy it from within. I will see the next instalment, Solo, but if they let me down there, I will resist seeing the final movie as a form of protest against Disney. Is Disney now the metaphorical Empire/First Order. Do we need to form a rebellion?","The Last Jedi",40,4.1,3.6
"41",1.5,"  Slow and predictable story line.","The Last Jedi",41,4.1,2.6
"42",0.5,"  Rian Johnson ruined the Star Wars","The Last Jedi",42,4.1,3.6
"43",0.5,"  Really wanted to like it, and watched it a second time. Fundamentally a horrible movie. Take the star wars name out of it, and all the emotion on both sides. It was an awful movie with wasted character dev, poor story, and completely unnecessary plot holes. Lazily written, and for all of the resources and legacy at their disposal, Disney should be ashamed.","The Last Jedi",43,4.1,3.6
"44",0.5,"  Garbage with nice explosions and battles.","The Last Jedi",44,4.1,3.6
"45",5,"  I loved everything about this movies the good parts, the ""bad"" parts, the ones that didn't make sense but I the thing I loved the most were the answers to the questions the last movie left us with like (SPOILERS): Rey being the balance to Kylo (Explaining her powers), Kylos origings and Luke throwing his ligth saber was hillarious","The Last Jedi",45,4.1,-0.9
"46",0.5,"  horrible excuse for star wars movie..too much forced comedy and strong female leads are over done of course. Can nothing happen organically anymore?!","The Last Jedi",46,4.1,3.6
"47",2,"  This movie had more potential than any before it ,and they killed it in the worst way ,why was luke skywalker ruined he didnt even get to be redeemed through the movie ,never use this director again.","The Last Jedi",47,4.1,2.1
"48",0.5,"  Terrible. Didn't even make sense.","The Last Jedi",48,4.1,3.6
"49",1,"  What a big disappointment!!!!","The Last Jedi",49,4.1,3.1
"50",1.5,"  It breaks my heart to say it because I've loved all Star Wars films since I was a child, but that changed with this movie. I don't know why critics assumed fans would like this film; I can only guess they're not savvy to the Star Wars fandom. I'm also not sure where they get the idea that the story telling is decent as it is easily some of the worst I have seen in a movie. This is a sequel allegedly but you could easily not watch the Force Awakens as it throws all of the established plot threads and character personalities out the window to do its own thing. Its own thing being gaping plot holes in the star wars lore, badly written characters and pacing that baffles common sense.Visually it is stunning. But cleaning a toilet doesn't change the fact it is still a toilet. It is watchable, but I cannot watch it without shaking my head in frustration. This was the film that needed to answer questions so we could be excited for the final instalment in this new trilogy. Instead it wastes time and gives answers that carry little weight. Somewhere between the stolen motifs of the original trilogy and thoughtless meandering, the film lost itself. It is upsetting to see such a beloved franchise placed in the hands of people who do not understand it, The Tragedy of Darth Plagueis the Wise is but a shadow when compared to the Tragedy of the Last Jedi and what it could have been.","The Last Jedi",50,4.1,2.6
"51",0.5,"  such a disappointing movie, flawed in almost every way possible. single handedly divided a unified fan base and destroyed a great franchise. star wars is dead.","The Last Jedi",51,4.1,3.6
"52",0.5,"  sin duda la peor película de star wars , los vacios argumentales que hay entre el episodio 7 y 8 son horrible toda las dudas que te genero el episodio 7 a que te las tiran por la cabeza---- quien son los padres de rey? nadie? entonces por que mierda le dieron tantas vuelas en el episodio 7 y por que se ven los padres de rey o quien sea abandonándola en el planeta ¿ quien es snoke ? a quien le importa si ya esta muerto ¿ que sera del grandioso luke skywalker? nada solo se volvió un ermitaño que intento matar a su sobrino por que vio maldad en el jajajajaja nada que ver con el luke de verdad que intento salvar a su padre del lado oscuro sabiendo todo lo malo de sus acciones y lo todas la gente que mato ... a si el guion de la pelicula es asco ose como 20 minutos de relleno en la parte del casino que al final no sirvió de una mierda .... en tema de los personaje nada bueno- finn literalmente un personaje de relleno y igual que rose- rey no avanza nada como personaje-poe tampoco y lo hacen parecer un estúpido- kaylo ren es el único que vi que avanzara como personaje y para mi fue el mejor de la peli ..... en fin toda la culpa de este desastre de peli tiene nombre rian johnson por no guiarse de los borradores de jj abrams para que no tuviéramos tenidos estos vacios argumentales y esta basura","The Last Jedi",52,4.1,3.6
"53",1,"  This movie doesn't just have plot holes. The entire movie IS a plot hole. As a Star Wars fan since I was maybe 3 years old it just makes me sick what they have done with this series. The problems really started with The Force Awakens, but while that movie had issues, this sequel takes a nose dive right into the ground. The four young main characters of the film are Rey, Poe, Finn, and Kylo Ren. Each of these characters is effectively ruined by the end of the film. Rey, as the Force-user of this series, doesn't really need any training. In The Force Awakens she picks up a lightsaber for the first time and defeats Kylo Ren with it. This would be like Luke defeating Darth Vader in A New Hope. But anyway, we are told throughout The Force Awakens that Rey needs to find Luke who is missing. Why? To get trained, we assume. The entire first movie is a buildup to the cliffhanger scene at the end where Rey meets Luke, and then the film rolls to credits. Yet in The Last Jedi, Luke doesn't train Rey at all. She accomplishes nothing while she is on the island with Luke, except for the fact that she is able to connect with Kylo Ren through the Force, which is one of several Force-powers that we, as an audience, have never seen before. Poe is emasculated in this film. He's supposed to be the Han Solo of this series but he is told he is making bad decisions time and time again by the female leaders of the resistance. Finn might as well not have even been in the movie. He is treated right off the bat like a joke. After trying to heroically save Rey and nearly being cut in half at the end of The Force Awakens, we see him walking around half naked in a water balloon. Because why? I guess it was supposed to be funny. He then spends the rest of the movie running around with this new character Rose on a fool's errand, trying to find some device that will do something to help the Resistance ships escape the First Order because the First Order has some tracking device that blah blah blah blah. Its all a big plot device that doesn't make much sense and doesn't matter anyway by the end of the movie. Finn and Rose also spend time on a Casino planet saving a bunch of anime-horses from being abused while at the same time leaving a bunch of children in slavery. They could have saved the kids from slavery and left the horses but instead they went with saving the horses. Near the end of the movie, Finn has a chance to save the Resistance by destroying this big cannon that the First Order is going to use against the Resistance. He attempts a suicide run but is stopped suddenly by Rose. Because why? I have no idea. Her stopping his suicide run made no sense. Now the First Order is just going to kill them all, right? As far as she knows anyway. Also they're having this little love scene right in front of the First Order. Why the First Order didn't kill both Finn and Rose right there I have no idea. Kylo Ren, and really the entire First Order for that matter, are no longer threatening villains. Kylo was defeated by Rey (who had no training) in the first movie, so why should we as an audience feel threatened by him? Same goes for General Hux. In this opening scene of the movie, instead of having an impressive battle sequence, the director of this film opts to have a joke scene where Poe calls Hux and plays some kind of phone game with him, and Hux falls for it. This is supposed to be funny but its not. What it does is basically render Hux a non-entity. We no longer care about him or are threatened by him after this. Captain Phasma? Another wasted character. She shows up for 30 seconds and dies. They bring Admiral Ackbar in just to kill him off screen. If Admiral Ackbar had been the one to do the suicide run with the Resistance ship instead of Admiral Holdo, it would have mattered. We care about Ackbar. We don't care about Holdo. But they killed Ackbar off screen. The entire sequence with the First Order chasing the resistence fleet makes no sense. Why doesn't the First Order just hyperspace jump in front of the resistance fleet? Why don't they send starfighters to kill the Resistence fleet? Why does the Resistence just send everyone out on transports like Finn and Rose did? None of it makes any sense. Not sure why Leia was in this movie either. We see her using the Force for the first time to save herself from space. Here's two problems with that scene. One: she uses the Force to get back to the ship, but how does she get into the ship through the door without killing everyone inside it? Two: if Leia was so powerful with the Force, why doesn't SHE train Rey? Why does Rey have to go find Luke if she's already got a powerful Force-user right there who can train her? Not that Rey gets trained by Luke at all anyway. The saddest part of this whole movie is Luke. Luke is the hero of Star Wars. Luke risks everything in Return of the Jedi on the belief that he can save his father, Darth Vader, the second most evil guy in the universe, from the dark side, and he succeeds. Why would this hero then turn around and try to murder his own sister's son in his sleep just because he sensed a little dark side in him? Luke would never do that. Never. He also would not hide on an island while that same nephew murders Han Solo and blows up a planet with the Starkiller death star thing. The Luke of this movie is basically a coward. What this movie has accomplished is that it has essentially rendered the sequel trilogy null and void. There is no reason to continue with Episode 9. None of these characters matter anymore.","The Last Jedi",53,4.1,3.1
"54",1,"  no he visto una pelicula tan mal hecha en mi puta vida","The Last Jedi",54,4.1,3.1
"55",0.5,"  esta pelicula fue horrible y jamas dire lo contrario","The Last Jedi",55,4.1,3.6
"56",1,"  esta vez si hare caso a los fans esta pelicula es horrible","The Last Jedi",56,4.1,3.1
"57",1,"  no he visto una pelicula tan mal hecha en mi puta vida","The Last Jedi",57,4.1,3.1
"58",0.5,"  esta pelicula fue horrible y jamas dire lo contrario","The Last Jedi",58,4.1,3.6
"59",1,"  esta vez si hare caso a los fans esta pelicula es horrible","The Last Jedi",59,4.1,3.1
"60",0.5,"  A painful experience","The Last Jedi",60,4.1,3.6
"61",0.5,"  mmmmmmmmeeeeeeeeeeeeeeeee cagggooo en todo por esta secuela de mierdaaaaaa","The Last Jedi",61,4.1,3.6
"62",1,NA,"The Last Jedi",62,4.1,3.1
"63",0.5,"  mmmmmmmmmmmmmmmmuuuuuuuyyyyyyyyyyyyyy chafa la pelicula fue horrible","The Last Jedi",63,4.1,3.6
"64",1,"  nnnnnnnnnnnnnnnnnnnnnoooooooooooooooo me gusto es pelicula XD","The Last Jedi",64,4.1,3.1
"65",1,"  cccccarrraaaammmbaaaa es una horrenda pelicula","The Last Jedi",65,4.1,3.1
"66",1,"  worst movie of the star wars and sci-fy in general.","The Last Jedi",66,4.1,3.1
"67",0.5,"  mammmmacita esta pelicula es terrible","The Last Jedi",67,4.1,3.6
"68",1,"  Great visuals but poor WRITING and storytelling","The Last Jedi",68,4.1,3.1
"69",1.5,"  Good: -Visual Effects (Real and CGI) were amazing-Cinematography shots were beautiful. Bad:-Plot was terrible, didnt tie in with the previous movie. -Random sub plots that were annoying rather than enjoyable. -Story arch was unimaginative and poorly written","The Last Jedi",69,4.1,2.6
"70",3,"  This star wars is about as fresh as road kill....!!!!I guess it really doesn't matter because it's going to make billions for Disney no matter how redundant it is. Hopefully the next one will have a better script, and the characters will be entertaining and new.For an $8 ticket, you get $8 worth of entertainment.","The Last Jedi",70,4.1,1.1
"71",0.5,"  Hated it. The way Luke dies, the way Snoke dies, and Star Wars dies the exact same way after this film. The film did suprise me here and there but not in a good way. You may have heard it all before but it is a remake of the origanals. The battle of Crait was like the battle of Hoth (the rebellion, as it is now being called again, are being punished by the bad guys and they need to escape). Snoke makes Rey watch the Resistance be demolished in space (like Palpatine with Luke at the battle of Endor). The only new things was the casino which makes it feel like a Dinsey film not a Star Wars film, Luke's character and Star Wars trying to be comedy. Rey hardly has any training and still kicks ass (because of all the feminists today trying to say women are better), Ackbar, a great rebel leader loved by many fans, dies and nobody cared, Holdo takes over and cant be bothered telling her crew what her plan is, causing a huge fight between everybody and waite until most of the Resistance escape pods have been destroyed. Poe turns from a strict pilot who knows what to do to becoming a joker and making decisions he knows that are wrong to blow up a dreadnought, causing most of the fleet to vanquish. And last but not least of all the HUGE disappointments is Leia being able to fly, this one is self exlanatory and I dont need to say anything here. But here is everything I liked about the film now:Thanks for reading.","The Last Jedi",71,4.1,3.6
"72",1.5,"  Biggest flop in SW history. Horrible story telling, killed nearly all continuity and context. Poor decisions, bad writing and characters we are forced to care about... but still don't. They ruined all potential with the classic characters, opting for quick gimmicks and surprises over good character arcs. It's a pretty film, Disney production but, it pretty much ruins Star Wars for me.","The Last Jedi",72,4.1,2.6
"73",1,"  Just more reboots. Lacks that Lucasfilm imagination in ships, planets, characters and story. The death of a legacy.","The Last Jedi",73,4.1,3.1
"74",0.5,"  Too many inconsistencies. The Force Awakens had a few, but this carries it to new heights. As a hardcore fan of Star Wars, I'm not someone who is hard to please. I want to like anything with the brand name. This one, I can;t.First, Rose is on the same level as Jar Jar Binks. Not the actresses fault, just a poorly written story. The entire Fin & Rose arc was TERRIBLE. Fin was somewhat redeemable at the end when he attempts to sacrifice himself, which then gets foiled by Rose.The bombers in this movie are pathetic. Y-Wings would have been far better for the bombing run at the start. All the villains feel incompetent instead of clever. Not to mention, supposedly the First Order has been in the shadows moving so as to not attract attention, then in this movie they are apparently the unstoppable war machine.Rey is still a Mary Sue. Luke is a sissy. And talk about a slap to the face, we don't even get to see Luke mourn for his best friend Han Solo. Additionally, Luke isn't even Luke. You know, Luke, who risked all to save his father. In this movie, he tries to kill his nephew on a whim.What was that last battle? Sure, we'll throw the EU out. Then in Rogue One we show that Star Destroyers have the ability to hover above a city. But in this movie, the Star Destroyers can't enter the planet's atmosphere? One Star Destroyer could've destroyed the entire base at the end no problem.Nope, instead lets land a full mile away and slowly walk an attack force up to the door.This movie was pathetic. It wasn't even enjoyable. I'm not digging into EU concepts because Disney said they don't matter. Fine. At least make a movie that makes sense. This one didn't even fit with any of the past movies. And to make it worse, I came out only having enjoyed one scene, and that was the Kylo Ren fight. (Snoke's death was also as pathetic as the rest of the movie)","The Last Jedi",74,4.1,3.6
"75",0.5,"  At first though it was a good movie. But it isn't . It has pointless scenes, forced humor, but most of all: disrespected the characters.","The Last Jedi",75,4.1,3.6
"76",2.5,"  An uneven tempo and ham-fisted attempts at humor derail an awkward approach to a classic series.","The Last Jedi",76,4.1,1.6
"77",0.5,"  This has been the worst Star Wars movie ever.","The Last Jedi",77,4.1,3.6
"78",0.5,"  It's a bit late, but I dislike Star Wars: The Last Jedi. I was disappointed about, Luke, Rey,Supreme Leader Snoke, and pretty much the whole story line.","The Last Jedi",78,4.1,3.6
"79",0.5,"  Systematically undermined all the characters of the original trilogy, reversing Luke's character progression entirely.Went from HUGE star wars fan who was excited about the New Canon, and this made me abandon Star Wars entirely.... it's been rough...","The Last Jedi",79,4.1,3.6
"80",1.5,"  co-directed by tommy wiseau?","The Last Jedi",80,4.1,2.6
"81",0.5,"  Dropped the ball in every possible way. Would be fine if this movie was just bad and uninteresting; however, it somehow managed to tarnish the legacy of the originals while also damaging the future of the franchise.","The Last Jedi",81,4.1,3.6
"82",5,"  I am not 100% certain as to why this is getting such good reviews with critics, and such terrible reviews with audience. Is it possible that so many audience members truly had no idea what they were going to see? This is quintessential Star Wars, and the newer generation is wrecking the acting of the original one. Mark Hamill's acting in this, is the WORST part of the movie. No one is giving Adam Driver enough credit, and YES the ""last jedi"" is going to be a god damned woman! Why is everyone having such a hard time with this? Rey is 10x the jedi that Luke was anyway. I don't get it. I really feel as though everyone forgot that this is the 8th film in a franchise. Did you see 1-3? Go complain over there.","The Last Jedi",82,4.1,-0.9
"83",1.5,"  Another movie franchise that should not have been remade. Lost the movie magic from the classic, now they have made into a crappy film. My 'favorite' part of the movie is when Princess leia dies, but somehow magically flies back to the ship. If you kill a character - kill the character.","The Last Jedi",83,4.1,2.6
"84",0.5,"  I am sorry to say that this movie did little to nothing to advance the franchise of Star Wars. In fact it did a lot of damage. The story writing was bland and the movie editing techniques were poor. Strong story writing raises all characters to the next level. It is not totally dafaming some characters in order to raise others up.Furthermore it leaves us with little to look forward to. If the Mantra of Star Wars is Hope against all odds, this movie did what it told me I need to to It Failed in all categories except one. the visuals were great, and that is all credited to the CGI team and not the director or the producers. Episode 9 has it's work cut out for it. Good Luck JJ.","The Last Jedi",84,4.1,3.6
"85",0.5,"  This was easily the most disappointing movie experience I have ever had. Abrams did a fantastic job with The Force Awakens , creating an intriguing new story and developing meaningful characters essential the to the trilogy. However, all of that is nullified in this movie. The movie revolves around a sense of magical realism that only small children with no higher than a 1st grade education could find remotely plausible, even for a Star Wars movie. The director of The Last Jedi, Rian Johnson, is either the least qualified person on earth to direct a movie or he intended to decimate the characters and plot that were set up in The Force Awakens. He provided us a film with literally no significance or resemblance to the other movies, ruined the integrity of the franchise and introduced absolutely ZERO meaningful plot twists or sequences to set up the next movie. Disney should seriously consider making a another second installment to replace this atrocity as it would generate more revenue for them and provide Star Wars fans with a restored purpose to watch the third installment.","The Last Jedi",85,4.1,3.6
"86",0.5,"  Absolutely awful. I dont even want to see episode 9 now.","The Last Jedi",86,4.1,3.6
"87",2,"  Probably the worst star wars movies to date. Great visuals but a terrible story.","The Last Jedi",87,4.1,2.1
"88",1,"  Its funny to see so many 5 star reviews , trying so hard to make up for the negative reviews even though they merit the backlash for being the worst star wars movie ever made.","The Last Jedi",88,4.1,3.1
"89",1.5,"  The movie is an abomination.","The Last Jedi",89,4.1,2.6
"90",0.5,"  pOSSIBLY THE WORST stAR wARS FILM TO DATE, YES WORSE THAN THE PREQUELS.bETRAYING THE ORIGINAL CHARACTER WHILE PROVIDING NOTHING OF VALUE IN ITSELF. rOSE AND fINN ARE COMPLETELY POINTLESS TO THE OVERALL STORY, rEY'S MARY SUE POWERS ARE STRONGER THAN EVER AND aDAM DRIVER CONTINUES TO BE THE ONLY GOOD ACTOR WHO'S NEITHER MARK HAMIL NOR CARRIE FISHER.gO WATCH SOMETHING ELSE.","The Last Jedi",90,4.1,3.6
"91",1,"  Not plot holes but plot craters, stupid humor, disrespect to characters.","The Last Jedi",91,4.1,3.1
"92",0.5,"  This movie is so bad I will never buy it on dvd. The story is poor the political views shoved into a script that destroyed and ruined Luke and Fin and Poe. It felt like they took parts from the original film and squashed them together in the hope it would work. WRONG..... canto bite is so poor and makes no difference to the plot I'm sure it's a joke played on us all and mr Johnson is laughing in his SJW dark bubble wondering how he got away with this hatchet job. I've returned my DVD and got a full refund this will never get into my Star Wars collection.","The Last Jedi",92,4.1,3.6
"93",0.5,"  Worst movie ever!!!!!!","The Last Jedi",93,4.1,3.6
"94",3.5,"  bad structured movie but ray kylo and luke carry this movie.","The Last Jedi",94,4.1,0.6
"95",0.5,"  I can't believe how bad this movie was. I've been a huge Star Wars fan since I was 6, and this movie was horrible. The characters we've come to love are exploited in what is essentially creative expression gone wild. It ignores established character traits, and attempts to create emotionally charged connections with new characters we don't even hear speak. Creating very awkward distractions. Star Wars has always tweaked the laws of physics to a certain extent, but the opening battle is ridiculously over the top. Not to mention the first orders ridiculously poor performance. Worst yet the plot try's to reference today's political atmosphere in not so subtle references to feminism, racism, and Marxist references to social inequality. An all to familiar pattern now of the bad white men was quite oblivious. The only exception (Poe) essentially acting like a child who won't listen to his mothers. That is when he wasn't killing everyone by himself. Seriously it was like watching someone play Mario cart at times. I'm going to try and forget this movie was ever made.","The Last Jedi",95,4.1,3.6
"96",1,"  Disapointed they decided to change everything and the director decided to rewrite everything.","The Last Jedi",96,4.1,3.1
"97",0.5,"  Worst Star Wars ever made. Has fantastic visuals, but the story has many flaws, is weighed down with needless distractions, silly moments, characters that go nowhere, and ultimately dishonors the character of Luke Skywalker. This was a wasted opportunity for Mark Hamill and Carrie Fisher and the film makers, who could have given us such a powerful story. But as it is, this film has little return value for me. Very annoyed.","The Last Jedi",97,4.1,3.6
"98",1,"  After such a good restart with The Force Awakens and then Rogue One this is such a disappointment. So many jarring parts such as the Mary Poppins scene and so many others, wasting good characters and failing the spirit of the Star Wars saga.","The Last Jedi",98,4.1,3.1
"99",2,"  This looked like a Star Wars film but it sucked my head, heart and soul dry. I hated the SJW Agendas and pissed me off big time. Visual effects, sound design and musical score was good. Most of the deleted scenes in the DVD should have been included in the movie. Ruin Reylo Johnson is an arrogant snobby self righteous novice filmmaker and bad writer. He didn't take risks and gave TFA the middle finger. It is a poorly made film with shallow characters which literally destroyed Legendary Luke Skywalker. Oh and Leia as Space Jesus...????????????","The Last Jedi",99,4.1,2.1
