"","Rating","Text"
"11",1.5,"  Welcome to the jungle...really? Is that the best they could come up with? How many movies have used that in one way or another now?So at the end of the first movie (in 1969) the board game Jumanji was thrown into a river by Alan Parrish; 26 years later (1995) its somehow ended up in France apparently. Fast forward to 1996 and the board game has once again been discovered...but back in America? (I trust that wasn't supposed to be the same beach from the first movie). Anyway the game has somehow evolved with the times and is now a videogame console; and once again it lures another unsuspecting youth into its jungle themed clutches. Fast forward again to 2016 and four students will also discover the board game which will trigger the same things that happened before. And round and round we go.So I gotta admit that I liked the idea that this mysterious game can somehow evolve with the times. Back in the first movie (1969) it was a board game to blend in with the era. Now its a videogame console which of course is perfect for this era. The whole idea of the protagonists choosing a game avatar to play as which then turns out to be their live action avatar once inside the game is pretty cool (although [i]Red Dwarf[/i] did it first). This does inevitably lead to very stereotypical characters which is deliberate...but doesn't excuse the stereotypical teenage protagonists which wasn't deliberate I'm guessing.Yeah so the teenagers, they're a straight 'Breakfast Club' type bunch for sure. You've got the jock, the nerd, the princess, and the weirdo. So yeah its a complete rip-off. I really felt like they could of done better with these characters despite the movie being full of deliberate cliches and stereotypes. As for the avatars they are also rather cliche, naturally. The Rock is of course just playing the same character he always does, basically himself. Jack Black is the squat, spectacled, old fashioned looking professor type. Kevin Hart is the goofy sidekick type. And Karen Gillian is Lara Croft essentially.One thing that did get me thinking was the in-game characters, the baddies and the in-game guide. The in-game guide and various baddie henchmen all seemed to act like actual videogame characters on rails. In other words they don't interact with the protagonists on a personal level, they just do and say what they were programmed. But some henchmen and the main villain (Bobby Cannavale as Professor Van Pelt, same name as the big game hunter from the first movie) seemed to not do this. It did seem like Van Pelt behaved differently and not in a programmed way like the others, almost as if he were a real person. Now in the original movie we never saw the jungle in the game, obviously this time we do. Alas its not really been visualised that well in my opinion. I always had the impression the jungle was set in an old fashioned British colonial type era mixed with a bit of [i]Tarzan[/i] type fantasy. Like the exterior of the board game indicates. Of course as the game evolved so did the interior jungle it seems. This unfortunately has led to all sorts of modern crap turning up like military choppers, motorbikes, modern guns and weapons, ridiculous chase sequences, and lots of explosions. Now I'm sure some people will have liked these elements but for me it totally ruined the entire feel of the movie, or at least the look and feel I was hoping for.Gone is the possibility of quaintness and charm, enter vast CGI chase sequences on-board a military chopper (being chased by man eating CGI rhinos. Why didn't they just shoot them?). Stupid chase sequences with hordes of motorbike riding bad guys. Lots of gunfire, explosions and of course the obligatory martial arts sequences from Ruby Roundhouse. I might add that Ruby Roundhouse spends lots of time trying to learn how to flirt and act sexy to distract some bad guys, but ends up just kicking the crap out of them. Her entire character is utterly pointless, why did we need all that shit when she can just beat them up. Its like one sequence where The Rock's character says he knows CPR but doesn't actually do it when its required. He just stands there and gives instructions to another character, eh??Its really such a shame that this movie went down the route it did. Obviously there was gonna be CGI involved, obviously there was gonna be greenscreen involved, but Jesus Christ could they not do any better than this?! Most of the CGI is bad, real bad. Most of the greenscreen is obvious, real obvious. In fact it gets noticeably worse towards the end in my opinion. There are barely any practical effects which the first movie did incorporate in places. This movie is just ugly from top to bottom and its not helped by all the ludicrous action sequences. Its like half the movie wants to be like [i]The Phantom[/i], and the other half like [i]Rambo[/i]. Its such a clash of genres and tone.There is also a large plot hole in the way this story works, I think, unless I missed something. In the original Alan Parrish goes back to the point where he started playing the game in 1969 and changes time. This is obviously meant that Judith and Peter would never have played (in 1995) and wouldn't know anything about the game or Alan (having never met him). In this new movie the protagonists meet up with the kid (Alex) who got trapped in the game from 1996. When they all leave Alex goes back to the point he started playing in 1996 and changes time. So if he changed time, how come the four main protagonists still remember everything when they get back to their present day of 2016? Surely there's a chance they would never have ended up playing the game, or the game wouldn't have ended up in the school (?).Anyway once again I find myself completely mystified by a modern movies success. How on earth did this pile of crap make so much money? How on earth did people find this enjoyable?? I could maybe understand it if this was an original movie and the first had never existed, but it does exist! I simply cannot fathom how anyone can accept this utter garbage after the excellent original movie (complete with a terrific Robin Williams) which came out back in 1995. There are some neat little touches here and there, I like the evolution and mystery of the game, and Jack Black is always a pleasure. But apart from that, this was yet another cookie cutter Dwayne Johnson flick. CGI laden trash of the highest order."
"12",3.5,"  movie was a lot better then expected. I saw the first jumanji movie when I was little and when I first heard about this and what the story was I thought It was going to ruin the jumanji name but after seeing it I am very much mistaken. I'm am still unsure about the board just randomly turning into a console game but still great story and funny. And I'm happy that they fitted in a robin Williams reference in the film."
"13",0.5,"  worst acting job I've ever seen in my life are people going to hell there's so much homosexuality in there how did you guys make this right for a kids watch nowadays guys are all fucked up in the head hands down gayest movie I've ever seen"
"14",1.5,"  This is one of the worst widescreen releases that I have ever seen. Thank the heavens that I didn't pay for it! The new JUMANJI has everything imaginable wrong with it. The environment has zero plausibility, there is no innovative creativeness, the characters are inane, and nearly all attempts to be funny are shamefully cartoonish. Practically no effort is put into generating special-effects that are warranted for blockbuster fantasy adventure and any concept (or quote) that had the slightest bit of humor to it, was widely broadcasted over the inordinate trailer. For the record, when I was fifteen years old, I absolutely loved the original JUMANJI. It's a disgrace that Hollywood was able to flourish a financial gain from this jejune slab of rubbish."
"15",3.5,"  Often entertaining, delightful and feels like a perfect adventure game."
"16",3,"  Just okay. Didn't quite live up to my expectations."
"17",4,"  This movie was great, but they shouldn't have destroyed the game."
"18",5,"  this is the best movie!!!!"
"19",5,"  love this movie so much"
"20",5,"  SOOOOO much better than the first one!"
"21",3.5,"  A fun movie that falls just short of the original. Good movie, kinda predictable."
"22",3,"  Overrated to a point. Still this ""Jumanji"" rehash still offers just enough fun and silliness without much boredom to give it a minor pass. I would beware of those who think this movie is close to the second coming, however."
"23",3.5,"  I watched it intending to waste time but I actually really enjoyed this sequel! It's nostalgic yet modern and still all very exciting! Fun!"
"24",5,"  A great movie, with a new and improved story and concept (although I think they took a big risk moving away from the original story, like in the first Jumanji movie). Entire cast was great, also, especially with the addition/appearance of K. Gillan, who I've personally never seen before."
"25",5,"  iT's so good to watch an anti sjw movie, this movie is a slap in the face to feminists."
"26",4,"  I had my doubts at first, but Jumanji:Welcome to the Jungle caught me by surprise in how good it turned out. Solid cast, smart writing,clever callbacks to the first film, overall good popcorn fun. My only gripe is the ending."
"27",3.5,"  Did it need a sequel? No, but it's not half bad."
"28",2.5,"  It would be 1 star if not for Rock, Hart and Black. Incredibly stupid scenario even for the standards of children movies. I am extremely disappointed with my childhood movie remake"
"29",5,"  Good plot... Stayed interested the whole time... And it was hilarious!"
"30",4,"  Outrageously silly, but fully aware it is so."
"31",4,"  Really silly, really fun, exactly what you'd expect a movie like this to deliver, a really great update for once with the videogame-style integration, which if you are an action or RPG gamer you would really enjoy as it's very well done."
"32",2.5,"  While Jumanji: Welcome to the Jungle manages to have its own shine and fun moments without exploiting the innevitable nostalgia factor that comes with it, it is also highly forgettable."
"33",0.5,"  Just wasn't good. No coherent plot. Couldn't follow. Not worth watching."
"34",4.5,"  No, this was not high art - but I loved everything about it. Perfect cast. A ton of fun. At this point I am pretty sure I will watch anything with the Rock in it."
"35",4.5,"  This movie is so hilarious and cool. Too much comedy and not too much action focus until the end. I wanted more of adventure movie than a comedy, but still good."
"36",4.5,"  Delightful movie, laughed all the way thru this movie."
"37",2,"  This sequel is a far cry from the original. It's more a comedy flick mixed with teenage drama than an adventure film."
"38",3,"  Dwayne Johnson and Jack Black make this an adventure worth taking."
"39",4,"  This movie had me actually laugh multiple times."
"40",5,"  A wonderful movie with great throwbacks to the original as well as amazing action/comedy. My whole family loved it."
"41",3,"  It should be funnier. It is a bit funny. It is fun to watch. But it just seems to line up there with many other so called ""comedies"" these days."
"42",4,"  Hesitated to watch this movie... but I am glad I did. Very funny and had a great story."
"43",4,"  Very funny and entertaining!"
"44",5,"  looks good but probably amazing"
"45",3,"  Set twenty years after Alan Parrish's fateful encounter with the dangerous board game Jumanji, the game has since then evolved into a plug and play video game designed to ensnare new players into playing new games. When four teenagers end up sucked into this new game and transformed into their avatars, they must use their new skills and abilities to win the game and escape Alan's world...Originally planned as a straight-up reboot of the 1994 Robin Williams cult classic, Jumanji, but ended up being retooled as a loose sequel after the tragic passing of Williams in 2014, this more comedic take on Chris Van Allsberg's story of a game coming to life may not always land in it's comedy, but the screenplay's clever knowledge revolving around video game tropes ironically makes this unwanted sequel, a more faithful adaptation, than 3/4% of most video-game film adaptations in the entire industry.Another aspect that makes this film extremely funny is the comedy revolving around the teenagers having to adapt to thier avatar bodies with the biggest laughs coming from a valley girl being reincarnated as a Jack Black Professor or the school sports star being turning into a wimpy Backpack-carrying Kevin Hart. Although these character arcs pale in comparison to Alan's arc in the first film, the actors all have such funny chemistry, that it's hard to compare them to the more serious character arcs of the first film.Overall, Jumanji: Welcome to the Jungle may lack the intensity, surprises and character development of the 1994 film, but the funnier than expected humour, the impressive use of the video game setting within the screenplay and the solid acting, makes this stand-alone sequel, a game worth replay value..."
"46",4,"  I found this remake to be very refreshing and very entertainingly funny!"
"47",2.5,"  Sorry did not meet my expectations,w/ the star cast they great actors just not a blockbuser at no means!"
"48",3.5,"  Don't normally like these kind of movies, but this was fun."
"49",5,"  Wife and I loved it. They honored the original. Casting was perfect. One of the best films this year."
"50",4,"  It pays homage to the original without trying to recreate it. The only thing I want to know is: how does Jack Black play such a convincing teenage girl?"
"51",0.5,"  This was a pathetic movie that lacked imagination. It was ridiculous, childish, and lacking in entertainment. I think a lot of people like it because their kids like it."
"52",4,"  allot of funny moments but a few area's in the film could have been done better."
"53",5,"  loved it. funny, fast paced and just plain fun. I got exactly what I expected when I sat down to watch it. I wish there was a sequel with the same cast, they were great."
"54",4,"  I did not expect it to be THIS good. Kevin Hart is hilarious, and Jack Black obviously had tons of fun with his role. Pays beautiful homage to the first one but can totally stand alone as just a great film."
"55",3,"  It was very entertaining for what it was. I just wished that they had included more from the original movies like lion, huge mosquitoes, and people eating plants. Nothing in the jumanji jungle is unique but it's still a fun story"
"56",4,"  Fun and adventurous. While it certainly is not the original, this movie brings the board game to a new generation and did so successfully in my humble opinion."
"57",3.5,"  Don't go back and watch the original."
"58",4,"  Remaking a movie that wasn't good the first time. Then coming out on top. That's the secret Hollywood, I'm 13 and can figure it out. Whats your excuse?"
"59",4,"  Jumanji released in 1995 with the late great Robin Williams in the lead role, as a kid i considered this one of the greatest movies that was around and having watched it only recently before i went to check the new version out, i can still say hand on heart that it still ranks as one of the best, most imaginative movies I have seen. So when I heard they where releasing a remake I immediately thought how the hell will they inject new life into what is an already well established movie.Thankfully Welcome to the Jungle manages for the most part to maintain the quirky humour and fun which we had in the previous version while also keeping it fresh for a whole new generation. This is done by setting the movie in the modern day, the film opens with what i thought was a great twist where the dangerous Jumanji board game transforms into a video game so the more ""tech-reliant"" kids and adults of today may be more tempted to play. This proves to be successful when a group of unfortunate teenagers get sucked into the game one day while serving detention together.We see our characters take on the forms of avatars that they picked when playing the game, which results in each character being played by two different actors. The film has a lot of fun subverting the usual personas of each actor, whether its Dwayne Johnson's take on a nerdy uncomfortable high school dork to Jack Black's excellent portrayal of a superficial pretty popular girl.Most of the films comedy comes from those kind of contradictions, while jokes themselves come across quite cheap, like Jack Black constantly asking for his cell phone. The power of the actors helps to make a majority of them acceptable, this being most noticeable when the Rock and Kevin Hart share a scene, with the two of them having worked together before they garner some of the biggest laughs as their high school rivalry bleeds over into Jumanji's video game world usually in physical comedic ways.Jumanji plays well in the video game clich� as each character is given three lives with which they must try and work together to beat the game if they hoped to make it back to the real world, also they have riddled the game with what we would see in today's games from unresponsive NPC's to specific character strengths and weaknesses, even though at times it feels that the film is using that self-awareness to try and compensate for its less interesting twists and its less talented group of supporting characters.Unfortunately Jumanji does move away from the funnier lighter moments to focus on the slow developing relationships between all the main characters most of which comes across quite bland. For instance the romance between Spencer and Martha is just clichéd and feels uncomfortable when it's being played by the Rock and Gillian as the avatars. This along with the boring and unintimidating video game villain keep this from being a must see in my opinion.But for those hoping that this was going to be the absolutely ridiculous over the top comedy adventure that we had seen through the trailers you can rest easy knowing that you will be treated to that when you go to see Jumanji.DIAGNOSIS - INPATIENT CAREJumanji: Welcome to the Jungle does a great job of bringing audiences back to the classic we all know and love but with a great updated twist on the story. Even if some of the subplots and emotional connections don't really click, the action, fun and humour still make this worth your while going to seeAndy"
"60",4.5,"  Jumanji is a solid 8/10 watch. Jack Black is great and Dwayne Johnson The Rock continues to be the most charismatic man ever."
"61",4.5,"  Jumanji is a solid 8/10 watch. Jack Black is great and Dwayne Johnson The Rock continues to be the most charismatic man ever."
"62",3.5,"  I've learned to avoid movies with The Rock in them, but this movie was actually enjoyable. Just a solid family-friendly adventure movie; nothing more, nothing less."
"63",5,"  excellent fun, far better than the 1st film, you definitely should make the time to watch it."
"64",4.5,"  JUMANJI was a hit across all ages. Very charming fun movie. Cast is amazing."
"65",2,"  Did not like it at all. First 20 minutes was okay, then all downhill after that. First my 12 year old got bored & left. Then I just didn't find it keeping my interest. Some movies should never get sequels."
"66",1,"  What's his name is big and the girl is very good looking. That is it."
"67",3,"  It was good but not great, and it couldn't have been more predictable. Its humour was mostly a miss or just kinda-funny, the actors couldn't get their character's right, and we learned nothing new about how game came to be or it's purpose. Still, it was mostly a cute movie, with its heartfelt moments."
"68",3.5,"  Good family movie. Exceeded my expectations and provided some genuine laughs. It is exactly what you would expect and a little more."
"69",0.5,"  Wow,why was the penis talk necessary in movie geared for children. This movie is a insult to the original. What a ripoff job to the public. I think they are riding the coat tail and making millions of dollars on us people who except these junk movies and give away our money. Unfortunately it's to late after we spend it with them it and I believe that's what they know. If you have young children and don't want them to see grown men peeing and talking about how it feels and asking for other men to help them you might not want to watch it with them.Most of the movie is all talking very little action"
"70",4,"  A lot of fun even for adults. Johnson, Hart, & Black are hilarious."
"71",4.5,"  Very funny, and much better than the original Jumanji."
"72",3,"  Not half bad, and defiantly amusing. on top, they linked the 1st one in a way which I was happy about."
"73",3,"  Good comedic acting saves this movie from the bad CGI, confusing rules about the ""game world,"" and overall shallow plot."
"74",2,"  So many things wrong with this movie, nothing like the original."
"75",3,"  This took me back to my childhood during the 90s. It's not the most serious movie, but it was a very enjoyable experience with genuine moments of laughter."
"76",4,"  Better than I expected. Worth seeing"
"77",3.5,"  it was ok, but was desparate for jokes."
"78",5,"  The Rock and Kevin James back together"
"79",4,"  Knows what it is and doesn't try to be anything it isn't. This movie is funny, action-packed, and you can tell everyone had a ton of fun making it."
"80",5,"  Jumanji : Welcome to the Jungle was a very light hearted fun movie to watch. I loved the stereotypes and thought it made the movie very fun. Jack Black as a high school girl and Kevin Heart really made this movie extremely fun to watch."
"81",3.5,"  New spin on a classic movie. It's a hilarious, original, and fun movie."
"82",5,"  This is by no means a perfect movie, BUT I was surprised to find it very entertaining and visually exciting. I gave it a perfect score because that�??s what a movie is supposed to do- entertain!"
"83",4,"  I liked this way more than I thought I would. Jack Black playing a teenaged girl was hilarious! Good movie for all ages."
"84",4.5,"  Pretty good movie all around, a nice fresh take and subtle references to the original.Definately bettere than what I thought it was going to be."
"85",4.5,"  I loved this movie. Very funny too. The cast was great."
"86",4,"  Jumanji: Welcome to the Jungle embraces its whacky video game setting and charismatic cast the fullest, providing a fun-filled and amusing adventure that everyone can enjoy."
"87",4,"  Lots of fun! Hope there are more movies to come"
"88",3,"  A fun movie. Anytime the Rock and Kevin Hart are in the same movie it's probably pretty good. Still, I doubt there will be a sequel to this reboot. Spoilers - So when the pilot got back, well, that was a little confusing, but it was worth seeing."
"89",5,"  Jumanji sequel beats the original by a lot"
"90",2.5,"  Ok movie. Kinda stupid but some funny parts."
"91",1,"  Good movie for adults. HOWEVER, there are the implications of drinking and being drunk, cursing, and overly sexual dress all by teenagers. Maaaaaybe okay for teenagers, on the liberal side. NOT OKAY for small or young children. WTF did they do to this 90s classic?!"
"92",5,"  It was great fun! Haven't laughed that hard in a movie since I was a kid."
"93",5,"  A fun movie with greatly paced action and comedy."
"94",3.5,"  Entertaining and pretty funny. Especially Jack Black."
"95",4,"  I REALLY was surprised how much fun this film was, and it acully made me laugh! WAy better then the 1st! ""B""+, 88%!"
"96",4,"  The movie was great, It's not a reboot like most people thought it is an actual sequel to Jumanji.Just an all around great movie."
"97",3.5,"  I am pleasantly surprised at how enjoyable this movie. The updated yet old-school video game was cleverly redone but still mimicked the original movie. The characters are Wonderful and Jack Black steals the show. I laughed out loud many times. It is fun to watch with older children. I would not recommend it for younger kids as it does have several curse words and they won't understand it. This movie is fun and I would watch it again."
"98",5,"  This definitely topped the original movie by a long shot and, if possible, I would love to see a third one!"
"99",0.5,"  The original movie was so great, and so impossible to top. I don't understand why anyone would want to make a ""sequel"" to something so spectacular!"
"100",4.5,"  Amazing act by the cast. Amazing Reboot of a long gone franchise. Hope to see more of it. Good Screenplay and Mesmerising Edits, costumes and locations"
"101",4,"  Jack Black is hilarious! I thought ""The Rock"" would have seen more action. All in all , I still favour the 1st Jumanji ."
"102",1,"  The acting is terrible."
"103",4,"  Far better than it had any right to be!"
"104",5,"  The kids and I watched it tonight and loved it!"
"105",5,"  Much as I loved Robin Williams version of Jumanji....this one is much better."
"106",3.5,"  Silly, stupid, but surprisingly fun."
"107",2.5,"  When I first heard of this movie, I honestly figured it would be disgustingly bad. Now that it's out, I can see that it's nowhere near as bad as I expected. Still, that doesn't mean I necessarily like it.Jumanji is part of the new trend of disguising remakes as sequels. That, or it's a sequel disguised as a remake. Either way, it stands out from the original Jumanji in some ways and is strikingly similar I other ways. The characters, meanwhile, are more high school and action movie archetypes than characters. That makes it hard to get invested in them or take them seriously, until they get some perfunctory but welcome character development. Then again, taking them seriously isn't really the point. It's supposed to be a mindless fun. At first, I thought all of the camera movements would get in the way of that, but the cinematography hits that sweet spot of showing off the craziness without being nauseous. During the climax, the lighting similarly sets the mood without being so dark that you can't see what's going on.Jumanji's main appeal is seeing Dwayne ""The Rock"" Johnson and Kevin Hart at work together. Co-staring in last year's Central Intelligence has given the pair good experience to build their chemistry off of. Still, that's not enough to refresh this movie's stale sense of humor. Most of the jokes are based on cliches, dumb, or telegraphed miles in advance. There are quite a few laughs to be had here, but there's no getting around how unfunny large chunks of the movie is, Since that's the core of the movie. Adventure-comedies are perfectly fine, but there are countless movies out there that do it better."
"108",3,"  i thought this was pretty funny movie"
"109",2,"  Not too bad,if you?ve nothing else to watch :)"
"110",4,"  this was funny; Kevin Hart's character is quite comical. his snarky comments got me good a few times. & Jack Black does such a great job at being stupid, too. i really liked it. i'd definitely watch it again."
"111",4.5,"  This made me laugh and scream at the action parts. This reboot might not top the original but is a funny and action packed experience for all ages"
"112",4.5,"  i was so surprised at how good this movie was. very enjoyable the whole way through Rock and Hart solid and funny as usual."
"113",4.5,"  The movie ""Jumanji, welcome to the jungle"" is a 2017 american action comedy film. From a story by Chris McKenna, it's the second movie in the jumanji franchise based on the 1981 children's book. The film starts Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, and Nick Jonas. Set twenty-one years after the first film, the plot follows four teenagers who are transported into a video game world called ""Jumanji."" Once the player chooses their character for the game they all get sucked in. Uniting with another they must overcome the games magical power in order to win and return home. In the end, the cast saves the day and wins the game of Jumanji and returns home. The moral of the movie is a band of friends come together by putting aside any differences they have and overcoming the challenges of Jumanji. The new movie had some concerns and seems to some people to be disrespectful because of the original movie starring Robin Williams. People think that due to Robin Williams legacy it's cruel to try to ""remake"" or ""modernize"" the original jumanji movie but the author thought differently, the author made the movie on the amazing and fun idea of the jumanji movie but also in remembrance of Robin Williams. This paper will show specific analysis of the movie that it was not disrespect towards Robin Williams, but rather honored him though character analysis and the specific ideas of the movie. The movie ""jumanji, Welcome To The Jungle"" honors Robin Williams because of the specific ideas of the movie. The first jumanji movie was based on a board game and is a very popular film because of Williams, but the new movie is based on a video game and some people have some speculations as to why. The new movie takes place in the jungle of jumanji and through the movie there were many incidences where they referenced Robin Williams from the original jumanji movie. For example, in the original jumanji movie Robin williams character in the movie (Alan Parrish) was stuck in the jungle just like the characters in the new movie, but while they're there, they find many clues left behind by Williams' Character who was stuck there from the original. This is important because the new Jumanji movie has not overthrown the original and the directors of the movie show that. Through the movie they don't directly reference Williams, but they leave mini easter eggs to show that this movie was not the original. This movie also honors Robin Williams because of the characters who play in the new movie. There are specific examples of the actors from the movie such as Kevin Hart, the Rock, Nick Jonas, and Karen Gillan who testify to reporters that when they were making this movie they did not forget to remember robin williams and the original movie. For example, Kevin hart said that ""We didn't want to do a remake, we're doing more of a continuation and we just wanted to make sure that we do that film proud."" It's almost like the karate kid franchise, there were multiple movies, but when they made the 2010 film there were no arguments made to as if the movie was cruel to the original. This is important because the directors of the movie jumanji weren't just trying to profit from the original but they were trying to step in the light of Robin williams. This film also steps into the light of Robin Williams by giving people something to remember him by through easter eggs in the film. The directors of the movie didn't forget to leave out a small roll that Robin Williams plays even in the new movie. For example, in the film when the four characters are trapped in the jungle of jumanji when jack black and Dwayne Johnson's characters find a jungle house that only could have been built by Robin Williams character, parrish, who was stuck in the jungle for 23 years in the first film. Jack Black also goes on to say that ""We're exploring the jungle and trying to conquer the game; it's life or death. But while were there, we find clues left behind by (Robin Williams's Parrish character). He built a full-blown jungle house, similar to a Swiss Family Robinson situation. It's like he's there helping us without actually being there."" This is important because most people who are against this film go on to say that this movie is almost against Robin Williams because they believed that they were trying to overthrow his legacy when that's the complete opposite of what the directors purposes were. Kenny, a writer from new york times, has a negative remarks for ""Jumanji: Welcome to the Jungle"".. For example, ""very few remakes, sequels or franchise reboots have signaled their desperation to connect quite as nakedly as Jumanji: Welcome to the Jungle does."" In other words they're trying to cash in on the success of the original jumanji movie from 1995, but threw the evidence of this paper it goes to show that not some, but all the actors and the directors of this film made this movie all under the influence of Robin Williams. For example, dwayne johnson, behind scene says, ""I have such a tremendous amount of love and reverence for the original movie and what Robin meant to my family. I loved it like the world loved it."" In the end, the jumanji movie isn't disrespectful towards Robin Williams because the characters and the specific ideas of the movie prove that wrong. Robin Williams legacy lives on threw quotes, specific examples in the movie, and people. The purpose of this film is only trying to do the original movie proud."
"114",2,"  ok movie, don't know why one of the jonas was in this movie. they're suppose to be musicians not actors. the movie was boring at times, but it was entertaining none the less."
"115",5,"  I am going to talk about this film. I went to see the film in the cinema 1 month ago. I really like it.It's about 4 people who played a video game called Jumanji. They went into the video game and played it. The game is about life or death. They have many crazy adventures and they were very scared.I love it because the people are very funny and fun. They've got superpowers, for example: one of the people can run very quickly. They've got 3 lives and when they lose it they die. Everyone got weak points.Please see it! It's fantastic!"
"116",4.5,"  With a very endearing cast and humorous storyline, Jumanji has done it again giving fans of the previous movie a satisfied sequel and the new generation a very entertaining family movie. The only thing I wish to criticize is the extremely underdeveloped and un-threatening villain."
"117",4,"  I loved this movie. What could be better than Jack Black portraying a teenage girl? It is entertaining, funny and worth seeing."
"118",3,"  not bad for what its worth. The Rock Rules as always"
"119",4,"  I loved this movie! Anything with the Rock and Kevin Hart is bound to be a hit, but honestly worth seeing again!"
"120",3,"  5 Points: 1) Cast - 1.0/1.0 2) Storyline/Plot: 0.5/1.03) Soundtrack - 0.5/1.04) Visuals - 0.5/1.0 5) Distinguishing Aspects - 0.5/1.0 Total: 3.0/5.0 Suggested RT Score: 77%"
"121",1.5,"  89% of audience enjoyed this??? Really? I must be out of touch with reality or the demographics of the audience have changed. I used to prioritize my viewing based on RT scores and other indicators, but this is yet another example of why I need to change my watching philosophy. The original Jumanji was fun, entertaining, etc. I could not help but think that this movie was primarily targeted for the teen-age crowd with little to entertain anyone over the mental age of 17. I like the actors individually and there were a couple (and only a couple) good lines (mostly delivered by Kevin Hart who was obviously the comic relief character). But the entire premise, execution, and plot was flat and did nothing to pique my interest. It is true that most sequels are poor attempts to capitalize of the popularity of the original, and this lives up to that. My advise: If you are over the mental age of 17, don't bother unless you don't mind plopping down $6 on cable and wasting almost two hours of your life. I'm sorry for the review, but I wish Hollywood (or Japan or China or whoever has bought the movie studios most recently) would focus more on plot, character development, and WRITING over cheap gags and special effects."
"122",3.5,"  3/21/2018The movie took on a whole different narrative from the 90's original but added some clever gaming factors. Overall, not all that original but fun nevertheless."
"123",4,"  A great movie that embraces the video game aspect. Although some parts are slow and characters slightly have a bad moment or two, these characters really elevate this movie. The only character I think fell flat was Kevin Hart as he was himself. Everyone else played a highschooler which can be felt but Hart felt like the same old Hart. I love Hart but he brings it down slightly and he should have been a bit more ruder. I love the Rock and Jack Black were the best in my opinion, especially Black since he was the funniest and more true to his high school counterpart. Great Movie and the critic review has underestimated this movie."
"124",3,"  It is not hilarious, but there are some good laughs in this movie. It doesn't take itself seriously, it's just a fun adventure with a great cast. I recommend it."
"125",4,"  It's almost like Breakfast Club and Jumanji had a love child. You've got all the elements, the nerd, the jock, the self-absorbed girl and the socially inept girl. But the simple truth is - Jack Black as a self-absorbed teenage girl was BRILLIANT. He was hysterical."
"126",3,"  Far more amusing than it has any right to be. Unlike the original, there is more of a sense of imagination on display even if it is ultimately just a goofy action comedy."
"127",4.5,"  Jumanji was a really good film. 8/10"
"128",2.5,"  While the cast, performances and action scenes are passable by modern standards, its let down by its juvenile sense of humour. However, credits where credits is due, the teenagers do feel like real, modern teenagers of the current generation, in contrast with most other teens of this generation. Overall, it feels pandering, so i recommend you skip it"
"129",3.5,"  Jack Black stole the show"
"130",5,"  A surprisingly good sequel from the Robin Williams classic fantasy movie.on can tell that the cast is having fun..."
"131",4.5,"  This was a freaking funny movie. Had me cracking up the whole time."
"132",1,"  Tried to watch it I ejected it when it said it had demon possession. As my household is Christian."
"133",5,"  HILARIOUS movie, I love it! Great movie on many levels. a lot of fun. Awesome film, very hilarious.Great movie for all ages."
